Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 03, 
Data: 05 | 00, 03 | 00, 
Data: 06 | 00, 
Data: 05 | 00, A5 | 02, 
Data: D8 | 00, 0D | 00, 10 | 00, 00 | 00, 
Data: 05 | FF, A5 | 00, 
Data: 06 | 00, 
Data: 05 | 00, A5 | 02, 
Data: D8 | 00, 0D | 00, 20 | 00, 00 | 00, 
Data: 05 | FF, A5 | 00, 
Data: 06 | 00, 
Data: 05 | 00, A5 | 02, 
Data: D8 | 00, 0D | 00, 30 | 00, 00 | 00, 
Data: 05 | 04, A5 | 00, 
Data: 06 | 00, 
Data: 05 | 00, A5 | 02, 
Data: D8 | 00, 0D | 00, 40 | 00, 00 | 00, 
Data: 05 | FF, A5 | 00, 
Data: 06 | 00, 
Data: 05 | 00, A5 | 02, 
Data: D8 | 00, 0D | 00, 50 | 00, 00 | 00, 
Data: 05 | FF, A5 | 00, 
Data: 06 | 00, 
Data: 05 | 00, A5 | 02, 
Data: D8 | 00, 0D | 00, 60 | 00, 00 | 00, 
Data: 05 | 7F, A5 | 00, 
Data: 06 | 00, 
Data: 05 | 00, A5 | 02, 
Data: D8 | 00, 0D | 00, 70 | 00, 00 | 00, 
Data: 05 | FF, A5 | 00, 
Data: 06 | 00, 
Data: 05 | 00, A5 | 02, 
Data: D8 | 00, 0D | 00, 80 | 00, 00 | 00, 
Data: 05 | 00, A5 | 00, 
Data: 06 | 00, 
Data: 05 | 00, A5 | 02, 
Data: D8 | 00, 0D | 00, 90 | 00, 00 | 00, 
Data: 05 | FF, A5 | 00, 
Data: 06 | 00, 
Data: 05 | 00, A5 | 02, 
Data: D8 | 00, 0D | 00, A0 | 00, 00 | 00, 
Data: 05 | FF, A5 | 00, 
Data: 06 | 00, 
Data: 05 | 00, A5 | 02, 
Data: D8 | 00, 0D | 00, B0 | 00, 00 | 00, 
Data: 05 | 00, A5 | 00, 
Data: 06 | 00, 
Data: 05 | 00, A5 | 02, 
Data: D8 | 00, 0D | 00, C0 | 00, 00 | 00, 
Data: 05 | FF, A5 | 00, 
Data: 06 | 00, 
Data: 05 | 00, A5 | 02, 
Data: D8 | 00, 0D | 00, D0 | 00, 00 | 00, 
Data: 05 | FF, A5 | 00, 
Data: 06 | 00, 
Data: 05 | 00, A5 | 02, 
Data: D8 | 00, 0D | 00, E0 | 00, 00 | 00, 
Data: 05 | 04, A5 | 00, 
Data: 06 | 00, 
Data: 05 | 00, A5 | 02, 
Data: D8 | 00, 0D | 00, F0 | 00, 00 | 00, 
Data: 05 | FF, A5 | 00, 
Data: 06 | 00, 
Data: 05 | 00, A5 | 02, 
Data: D8 | 00, 0E | 00, 00 | 00, 00 | 00, 
Data: 05 | FF, A5 | 03, 
